Dot centers and radii:
785: -193.99 -61.65 1.375
786: -187.061 -65.65 1.375
787: -193.99 -69.65 1.375
788: -187.061 -73.65 1.375
789: -193.99 -77.65 1.375
790: -187.061 -81.65 1.375
791: -193.99 -85.65 1.375
792: -187.061 -89.65 1.375
793: -193.99 -93.65 1.375
794: -187.061 -97.65 1.375
795: -193.99 -101.65 1.375
796: -187.061 -105.65 1.375
797: -193.99 -109.65 1.375
798: -187.061 -113.65 1.375
799: 6.9282 6.35 1.375
800: 6.9282 14.35 1.375
801: 0 10.35 1.375
802: 0 18.35 1.375
803: -6.9282 14.35 1.375
804: -6.9282 22.35 1.375
805: -13.8564 18.35 1.375
806: -13.8564 26.35 1.375
807: -20.7846 22.35 1.375
808: -20.7846 30.35 1.375
809: -27.7128 26.35 1.375
810: -27.7128 34.35 1.375
811: -34.641 30.35 1.375
812: -34.641 38.35 1.375
813: -41.5692 34.35 1.375
814: -41.5692 42.35 1.375
815: -48.4974 38.35 1.375
816: -48.4974 46.35 1.375
817: -55.4256 42.35 1.375
818: -55.4256 50.35 1.375
819: -62.3538 46.35 1.375
820: -62.3538 54.35 1.375
821: -69.282 50.35 1.375
822: -69.282 58.35 1.375
823: -76.2102 54.35 1.375
824: -76.2102 62.35 1.375
825: -83.1384 58.35 1.375
826: -83.1384 66.35 1.375
827: -90.0666 62.35 1.375
828: -90.0666 70.35 1.375
829: -96.9948 66.35 1.375
830: -96.9948 74.35 1.375
831: -103.923 70.35 1.375
832: -103.923 78.35 1.375
833: -110.851 74.35 1.375
834: -110.851 82.35 1.375
835: -117.779 78.35 1.375
836: -117.779 86.35 1.375
837: -124.708 82.35 1.375
838: -124.708 90.35 1.375
839: -131.636 86.35 1.375
840: -131.636 94.35 1.375
841: -138.564 90.35 1.375
842: -138.564 98.35 1.375
843: -145.492 94.35 1.375
844: -145.492 102.35 1.375
845: -152.42 98.35 1.375
846: -152.42 106.35 1.375
847: -159.349 102.35 1.375
848: -159.349 110.35 1.375
849: -166.277 106.35 1.375
850: -166.277 114.35 1.375
851: -173.205 110.35 1.375
852: -173.205 118.35 1.375
853: -180.133 114.35 1.375
854: -180.133 122.35 1.375
855: -187.061 118.35 1.375
856: 20.7846 14.35 1.375
857: 20.7846 22.35 1.375
858: 13.8564 18.35 1.375
859: 13.8564 26.35 1.375
860: 6.9282 22.35 1.375
861: 6.9282 30.35 1.375
862: 0 26.35 1.375
863: 0 34.35 1.375
864: -6.9282 30.35 1.375
